cal_date,cal_val,date_key,dist_val,steps_val,very_val,mod_val,light_val,active_mins,wfh_flg
08/01/16,2039.48,160801,301024,4394,0,0,0,0,0
08/02/16,2159.17,160802,335965,4904,0,0,0,0,1
08/03/16,2133.85,160803,334112,4877,32,28,0,60,0
08/04/16,2410.22,160804,698301,9111,74,18,0,92,0
08/05/16,1984.15,160805,603258,7740,0,0,0,0,0
08/06/16,2194.71,160806,472362,6895,40,2,0,42,1
08/07/16,2393.78,160807,544165,7943,0,22,0,22,1
08/08/16,2157.17,160808,462625,6753,26,14,0,40,0
08/09/16,2161.74,160809,506875,7399,16,24,0,40,1
08/10/16,1962.76,160810,243687,3557,0,0,0,0,0
08/11/16,2369.7,160811,665638,9358,58,24,0,82,0
08/12/16,2187.92,160812,361787,5281,0,0,0,0,0
08/13/16,2477.66,160813,397017,5795,66,16,0,82,1
08/14/16,2025.96,160814,687276,8713,0,0,0,0,1
08/15/16,2179.55,160815,463305,6763,40,16,0,56,0
08/16/16,2357.38,160816,682361,9530,18,8,0,26,1
08/17/16,2182.54,160817,407202,5944,18,10,0,28,0
08/18/16,2347.86,160818,635017,8689,24,30,0,54,0
08/19/16,2147.89,160819,402400,5874,0,14,0,14,0
08/20/16,2251.7,160820,496819,7252,0,0,0,0,1
08/21/16,2324.61,160821,637047,9299,20,0,0,20,1
08/22/16,2018.99,160822,272462,3977,0,0,0,0,0
08/23/16,2289.58,160823,595062,8036,26,16,0,42,1
08/24/16,2483.95,160824,472282,6894,96,22,0,118,0
08/25/16,2239.72,160825,694000,8031,54,10,0,64,0
08/26/16,2480.53,160826,810271,9849,54,8,0,62,0
08/27/16,2293.3,160827,832630,10342,36,4,0,40,1
08/28/16,2667.29,160828,789317,11522,96,12,0,108,1
08/29/16,2520.93,160829,925360,11493,120,12,0,132,0
08/30/16,2277.31,160830,1012913,12453,0,0,0,0,1
08/31/16,2188.22,160831,484211,7068,16,26,0,42,0
09/01/16,2503.08,160901,424946,6203,62,6,0,68,0
09/02/16,2207.87,160902,821814,9623,4,10,0,14,0
09/03/16,2476.92,160903,520329,7595,60,4,0,64,1
09/04/16,2199.81,160904,867320,10230,22,8,0,30,1
09/05/16,2388.83,160905,275911,4027,54,8,0,62,0
09/06/16,2389.68,160906,896331,11128,90,20,0,110,1
09/07/16,2164.75,160907,827183,9935,12,8,0,20,0
09/08/16,2094.77,160908,419803,6128,22,4,0,26,0
09/09/16,1954,160909,206560,3015,0,0,0,0,0
09/10/16,2599.26,160910,325904,4757,70,22,0,92,1
09/11/16,2598.41,160911,970975,11361,72,52,0,124,1
09/12/16,2216.82,160912,1081877,13056,30,28,0,58,0
09/13/16,2388.63,160913,644874,8986,22,46,0,68,1
09/14/16,2296.96,160914,590860,8625,58,14,0,72,0
09/15/16,2376.17,160915,574767,8390,36,4,0,40,0
09/16/16,2107.49,160916,384389,5611,0,0,0,0,0
09/17/16,2463.48,160917,539992,7882,0,24,0,24,1
09/18/16,2232.99,160918,527715,7703,0,0,0,0,1
09/19/16,2164.48,160919,435224,6353,14,64,0,78,0
09/20/16,2414.07,160920,462070,6745,90,22,0,112,1
09/21/16,2077.7,160921,692967,8341,20,0,0,20,0
09/22/16,2119.9,160922,508316,7420,0,0,0,0,0
09/23/16,1974.43,160923,194978,2846,0,0,0,0,0
09/24/16,2145.6,160924,262326,3829,0,12,0,12,1
09/25/16,2494.66,160925,411612,6008,70,16,0,86,1
09/26/16,2087.49,160926,865433,10120,0,0,0,0,0
09/27/16,1857.57,160927,298621,4359,2,16,0,18,1
09/28/16,1585.1,160928,0,0,0,0,0,0,0
